ID,Nombre del grupo,Unidad,Nivel
120363043563996716@g.us,AV OCOSINGO 2024,Municipio,Ocosingo
120363028972624522@g.us,Suma Claudia - Zoé DTO. 5,Distrito,5
120363043487588258@g.us,Suma Dist 12 Claudia -Zoé,Distrito,12
120363045696551631@g.us,Suma Dto.07 Claudia - Zoé,Distrito,7
120363045134688418@g.us,Líderes! Morena Mazatan,Municipio,Mazatan
120363045496879585@g.us,Suma Dto 2 Claudia - Zoé,Distrito,2
120363042681718886@g.us,SUMA Dtto 8 Claudia-Zoé,Distrito,8
120363040819296672@g.us,SUMA DIS.III CLAUDIA-ZOÉ,Distrito,3
120363027871546206@g.us,Suma Dist X Claudia- Zoé,Distrito,10
120363048722748879@g.us,Lideres Seccional TONALA,Municipio,Tonala
120363043568637117@g.us,Al porvenir Claudia +Zoé,N/A,N/A
120363045906396954@g.us,Morena Mazatán,Municipio,Mazatan
120363043740821856@g.us,Unidos con Zoe y Claudia,N/A,N/A
120363046814187424@g.us,SUMA Comitán,Municipio,Comitán de dominguez
120363049027277348@g.us,Jaltenango #EsClaudia #ConRumboalPorvenir,Municipio,Angel albino corzo
5219626240579-1452557803@g.us,TAPA NOTICIAS,Municipio,Tapachula
120363049966758290@g.us,4/T : CLAUDIA_ZOÉ,N/A,N/A
120363025588289040@g.us,TRANSFORMEMOS SAN CRIS,Municipio,San Cristobal de las Casas
120363046559486466@g.us,Jiquipilas #EsClaudia #ConRumboAlporvenir Jiquipilas,Municipio,Jiquipilas
120363047694131672@g.us,SUMA F. Comalapa,Municipio,Frontera Comalapa
120363045193205889@g.us,Claudia - Zoé Distrito 6,Distrito,6
120363050534539778@g.us,Cintalapa #EsClaudia #ConRumboalPorvenir,Municipio,Cintalapa
120363037272540280@g.us,Suma Claudia Zoé Berrio,Municipio,Berriozabal
120363030365405616@g.us,SUMA La Trinitaria,Municipio,La Trinitaria
120363046517124807@g.us,SUMA Socoltenango,Municipio,Socoltenango
120363029017217134@g.us,EsClaudia-Porvenir 9,Ditrito,9
120363031616107641@g.us,Villaflores1 #EsClaudia #ConRumboalPorvenir,Municipio,Villaflores
120363064623639288@g.us,Marques # CLAUDIA-ZOE,Municipio,Marques de comillas
120363047628311143@g.us,Protagonists el porvenir,N/A,N/A
120363041292276660@g.us,Líderes unidos,N/A,N/A
120363041861044381@g.us,Suma Juárez Claudia - Zoé,Municipio,Juárez
120363047835402972@g.us,Enlaces al Porvenir,N/A,N/A
120363029109789714@g.us,Rumbo Al Porvenir Tecpatan,Municipio,Tecpatan
120363048505268075@g.us,SUMA Las Rosas,Municipio,Las Rosas
120363029905047038@g.us,Coord Municipals Dist8,Distrito,8
120363031796922663@g.us,Concordia #EsClaudia #ConRumboAlPorvenir,Municipio,La Concordia
120363048982507585@g.us,VILLACORZO #EsClaudia #ConRumboalPorvenir,Municipio,Villa corzo
120363029942764373@g.us,EL PARRAL #EsClaudia #ConRumboalPorvenir,Municipio,El Parral
120363045944271601@g.us,SUMA V. Carranza,Municipio,Venustiano Carranza
,SUMA Tzimol,Municipio,Tzimol
,Dtto 12 Sur/Ote -Urbana,Distrito,12
,#EsClaudiaRumboAlPv TILA,Municipio,Tila
,Comité 1387 - Coquitos,N/A,N/A
,#EsClaudia Sabanilla,Municipio,Sabanilla
,G-12 morena claudia/zoe,N/A,N/A
